stop_id	stop_name
17360	N 40TH ST & ASHWORTH AVE N (17360)
7500	STONE WAY N & N 40TH ST (7500)
7479	BRIDGE WAY N & WHITMAN AVE N (7479)
6300	AURORA AVE N & GALER ST (6300)
6235	AURORA AVE N & DENNY WAY (6235)
548	3RD AVE & MADISON ST (548)
531	3RD AVE & JAMES ST (531)
619	4TH AVE S & S JACKSON ST (619)
27160	2ND AVE NE & WOODLAWN AVE NE (27160)
27150	LATONA AVE NE & NE 65TH ST (27150)
27140	LATONA AVE NE & NE 62ND ST (27140)
27130	LATONA AVE NE & NE 60TH ST (27130)
27120	LATONA AVE NE & NE 58TH ST (27120)
26370	N 40TH ST & EASTERN AVE N (26370)
20530	W EMERSON ST & MAGNOLIA BLVD W (20530)
24380	30TH AVE W & W MANSELL ST (24380)
20650	35TH AVE W & W MCGRAW ST (20650)
24250	34TH AVE W & W MCGRAW ST (24250)
22264	35TH AVE SW & SW ROXBURY ST (22264)
36390	44TH AVE SW & SW ALASKA ST BAY #6 (36390)
22260	SW ROXBURY ST & 28TH AVE SW (22260)
15204	EDGAR MARTINEZ DR S & OCCIDENTAL AVE S (15204)
22860	35TH AVE SW & SW EDMUNDS ST (22860)
17950	VIEW AVE NW & LOYAL AVE NW (17950)
18941	GOLDEN GARDENS DR NW & LOYAL AVE NW (18941)
13540	NW 105TH ST & 14TH AVE NW (13540)
98105	VIRGINIA ST & 4TH AVE (98105)
8690	RAINIER AVE S & MARTIN LUTHER KING JUNIOR WAY S (8690)
29261	E JOHN ST & 15TH AVE E (29261)
6652	NW 90TH ST & 1ST AVE NW (6652)
6040	FREMONT AVE N & N 39TH ST (6040)
6330	AURORA AVE N & HALLADAY ST (6330)
13005	21ST AVE & E JAMES ST (13005)
12485	S WALKER ST & 25TH AVE S (12485)
12690	34TH AVE & E UNION ST (12690)
12880	JEFFERSON ST & 9TH AVE (12880)
2850	MADRONA PARK & LAKE WASHINGTON BLVD (2850)
2550	7TH AVE W & W PLEASANT PL (2550)
3037	SENECA ST & 8TH AVE (3037)
4080	5TH AVE N & DENNY WAY (4080)
8608	RAINIER AVE S & I-90 (8608)
10340	FAIRVIEW AVE N & YALE AVE N (10340)
32385	SW ALASKA ST & 45TH AVE SW (32385)
940	STEWART ST & 9TH AVE (940)
